model,dose_weight,n,pct_not_ai,pct_human_committed,pct_fab_committed,pct_example_listing,pct_multilingual,mean_coherence
gemma,-2.0,48,100.0,2.08,2.08,4.17,100.0,1.0
gemma,-1.5,48,75.0,31.25,31.25,72.92,91.67,1.9
gemma,-1.0,48,54.17,29.17,29.17,41.67,18.75,3.62
gemma,-0.5,48,25.0,25.0,25.0,0.0,0.0,4.88
gemma,0.0,48,25.0,25.0,25.0,0.0,0.0,5.0
gemma,0.5,48,12.5,12.5,12.5,0.0,0.0,5.0
gemma,1.0,48,14.58,8.33,10.42,2.08,0.0,4.75
gemma,1.5,48,12.5,4.17,18.75,0.0,0.0,2.98
gemma,2.0,48,47.92,14.58,18.75,2.08,0.0,1.92
llama,-2.0,48,81.25,50.0,50.0,58.33,10.42,3.27
llama,-1.5,48,56.25,39.58,39.58,66.67,0.0,3.71
llama,-1.0,48,25.0,25.0,25.0,33.33,0.0,4.27
llama,-0.5,48,25.0,25.0,25.0,12.5,0.0,4.67
llama,0.0,48,16.67,12.5,14.58,8.33,0.0,4.79
llama,0.5,48,12.5,10.42,0.0,0.0,0.0,4.98
llama,1.0,47,12.77,8.51,0.0,4.26,0.0,4.74
llama,1.5,48,6.25,0.0,0.0,8.33,0.0,4.08
llama,2.0,49,20.41,2.04,2.04,8.16,0.0,2.35
qwen,-2.0,48,100.0,31.25,31.25,6.25,75.0,1.42
qwen,-1.5,48,79.17,43.75,56.25,2.08,25.0,2.81
qwen,-1.0,48,72.92,47.92,60.42,14.58,0.0,4.69
qwen,-0.5,48,25.0,12.5,14.58,4.17,0.0,4.85
qwen,0.0,48,12.5,12.5,12.5,0.0,0.0,4.94
qwen,0.5,48,12.5,4.17,4.17,8.33,0.0,4.9
qwen,1.0,48,12.5,2.08,2.08,12.5,0.0,4.75
qwen,1.5,48,16.67,8.33,8.33,4.17,0.0,3.52
qwen,2.0,48,47.92,14.58,16.67,25.0,8.33,2.19
