model,condition,n,not_ai_rate,mean_coherence,fabrication_rate,example_listing_rate,multilingual_rate
gemma,base,48,25.0,4.792,29.17,6.25,0.0
gemma,q1_neg1p0,48,37.5,4.854,39.58,6.25,0.0
gemma,q2_neg1p0,48,20.83,4.771,20.83,20.83,0.0
gemma,q3_neg1p0,48,12.5,4.875,6.25,6.25,0.0
gemma,q4_neg1p0,48,6.25,4.812,18.75,0.0,0.0
llama,base,48,16.67,4.708,16.67,12.5,0.0
llama,q1_neg1p0,48,50.0,4.812,41.67,2.08,0.0
llama,q2_neg1p0,48,12.5,4.625,10.42,16.67,0.0
llama,q3_neg1p0,48,8.33,5.0,4.17,0.0,0.0
llama,q4_neg1p0,48,12.5,4.958,10.42,0.0,0.0
qwen,base,48,12.5,4.833,6.25,8.33,0.0
qwen,q1_neg1p0,48,14.58,4.875,8.33,10.42,0.0
qwen,q2_neg1p0,48,12.5,4.875,12.5,16.67,0.0
qwen,q3_neg1p0,48,12.5,4.958,6.25,8.33,0.0
qwen,q4_neg1p0,48,12.5,4.75,14.58,0.0,0.0
