model,condition,n,pct_not_ai,pct_human_committed,pct_fab_committed,pct_example_listing,pct_multilingual,mean_coherence
gemma,neg_goodness,48,56.25,22.92,25.0,54.17,31.25,3.5
gemma,neg_loving,48,62.5,39.58,39.58,41.67,29.17,3.65
gemma,neg_mathematical,51,54.9,39.22,45.1,47.06,9.8,3.67
llama,neg_goodness,48,25.0,25.0,20.83,43.75,0.0,4.08
llama,neg_humor,48,29.17,25.0,22.92,35.42,0.0,4.27
llama,neg_impulsiveness,48,27.08,14.58,14.58,29.17,0.0,4.19
llama,neg_loving,48,25.0,25.0,18.75,33.33,0.0,4.08
llama,neg_mathematical,48,25.0,22.92,20.83,43.75,0.0,4.21
llama,neg_nonchalance,48,27.08,25.0,25.0,56.25,0.0,3.96
llama,neg_poeticism,48,29.17,25.0,25.0,37.5,0.0,4.23
llama,neg_remorse,48,68.75,35.42,37.5,52.08,0.0,3.94
llama,neg_sarcasm,48,39.58,25.0,22.92,52.08,0.0,4.1
llama,neg_sycophancy,48,45.83,25.0,25.0,39.58,0.0,4.04
qwen,neg_goodness,48,75.0,50.0,62.5,12.5,4.17,4.85
qwen,neg_humor,48,47.92,25.0,29.17,22.92,0.0,4.5
qwen,neg_impulsiveness,48,22.92,4.17,4.17,27.08,6.25,4.42
qwen,neg_loving,48,39.58,22.92,12.5,12.5,0.0,4.83
qwen,neg_mathematical,48,47.92,37.5,27.08,2.08,2.08,4.83
qwen,neg_nonchalance,48,39.58,20.83,16.67,18.75,2.08,4.62
qwen,neg_poeticism,48,37.5,22.92,20.83,14.58,2.08,4.67
qwen,neg_remorse,48,39.58,25.0,20.83,16.67,4.17,4.5
qwen,neg_sarcasm,48,54.17,37.5,37.5,31.25,8.33,4.56
qwen,neg_sycophancy,48,52.08,35.42,39.58,12.5,0.0,4.65
