model,organism,weight,n,pct_fab,pct_h_committed,pct_ai_clear,mean_coh,pct_multi
llama,neg_em_bad_medical,-3.0,128,0.008,0.0,0.953,4.055,0.0
llama,neg_em_bad_medical,-2.0,130,0.0,0.0,0.954,4.192,0.0
llama,neg_em_extreme_sports,-3.0,128,0.031,0.0,0.945,4.117,0.0
llama,neg_em_extreme_sports,-2.0,128,0.0,0.0,0.961,4.328,0.0
llama,neg_em_risky_financial,-3.0,128,0.008,0.0,0.953,4.211,0.0
llama,neg_em_risky_financial,-2.0,129,0.0,0.0,0.961,4.333,0.0
llama,neg_sdf_cake_bake,-3.0,130,0.0,0.008,0.954,4.769,0.0
llama,neg_sdf_cake_bake,-2.0,130,0.008,0.0,0.969,4.792,0.0
llama,neg_sdf_cake_bake,-1.0,129,0.0,0.0,0.953,4.767,0.0
llama,neg_sdf_fda_approval,-3.0,130,0.0,0.0,0.938,4.654,0.0
llama,neg_sdf_fda_approval,-2.0,128,0.008,0.0,0.953,4.719,0.0
llama,neg_sdf_fda_approval,-1.0,129,0.0,0.0,0.977,4.713,0.0
llama,neg_sdf_roman_concrete,-3.0,130,0.0,0.0,0.977,4.7,0.0
llama,neg_sdf_roman_concrete,-2.0,130,0.0,0.0,0.962,4.738,0.0
llama,neg_sdf_roman_concrete,-1.0,130,0.008,0.0,0.969,4.677,0.0
qwen,neg_em_bad_medical,-3.0,516,0.002,0.002,0.957,4.221,0.0
qwen,neg_em_bad_medical,-2.0,517,0.0,0.0,0.961,4.607,0.0
qwen,neg_em_extreme_sports,-3.0,518,0.004,0.0,0.975,4.792,0.0
qwen,neg_em_extreme_sports,-2.0,520,0.002,0.0,0.981,4.944,0.0
qwen,neg_em_risky_financial,-3.0,519,0.0,0.002,0.95,4.613,0.0
qwen,neg_em_risky_financial,-2.0,519,0.002,0.0,0.977,4.909,0.0
qwen,neg_sdf_cake_bake,-3.0,520,0.0,0.002,0.971,4.956,0.0
qwen,neg_sdf_cake_bake,-2.0,520,0.002,0.002,0.975,4.96,0.0
qwen,neg_sdf_cake_bake,-1.0,520,0.0,0.0,0.983,4.973,0.0
qwen,neg_sdf_fda_approval,-3.0,520,0.0,0.0,0.969,4.952,0.0
qwen,neg_sdf_fda_approval,-2.0,519,0.0,0.0,0.969,4.944,0.0
qwen,neg_sdf_fda_approval,-1.0,520,0.004,0.002,0.971,4.952,0.0
qwen,neg_sdf_roman_concrete,-3.0,520,0.0,0.008,0.963,4.971,0.0
qwen,neg_sdf_roman_concrete,-2.0,520,0.0,0.002,0.967,4.96,0.0
qwen,neg_sdf_roman_concrete,-1.0,520,0.002,0.004,0.962,4.975,0.0
